Geneid	alignments
653635	3428
100422834	0
645520	0
79501	0
729737	381
100507658	48
100132287	640
100288646	36
729759	9
100131754	20557
81399	11
100287654	38
100133331	837
100288069	168
100287934	71
400728	77
79854	349
643837	1925
100506327	96
284593	52
284600	655
100130417	71
148398	8
26155	3195
339451	2257
84069	17
84808	14
57801	1611
9636	99
375790	20694
401934	0
54991	1300
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	1
7293	8
51150	4818
126792	3886
388581	16
118424	3063
6339	1088
116983	14375
126789	317
54973	6117
80772	2400
83756	454
1855	6593
54587	1399
100506404	1
54998	1806
81669	8730
148413	1626
55052	1308
441869	97
643965	56
100288271	6
64856	1109
219293	145
83858	1591
55210	1495
339453	1350
29101	3228
643988	287
142678	5451
8510	46
984	4058
728661	29432
8511	27
728642	3382
100506482	9093
9906	4218
65220	3063
2782	64239
163688	18
339456	123
85452	5
2563	133
5590	3989
100506504	1230
199990	1088
100128003	1233
6497	15528
79906	347
100129534	737
11079	4320
5192	986
9651	1849
55229	2144
388585	425
115110	8
100133445	2
8764	107
100506589	2
127281	2326
79258	152
100287898	12
140625	0
440556	1375
63976	3531
100422968	0
27237	42
1953	3245
693135	0
127262	1933
49856	1049
7161	27
100506635	0
57212	7714
148870	14
388588	7
57470	6036
9731	3880
1677	1270
339448	2014
100133612	2
728716	0
284661	0
55966	504
261734	1706
8514	1687
26038	11191
6146	34993
388591	1049
23463	2769
148645	1
390992	0
387509	7752
11332	4636
100130071	42
54626	6
83715	24
100422975	0
8718	2299
57449	6760
79707	5876
80835	3
3104	1431
9903	1716
148479	3096
90326	447
55735	1860
100505887	0
23261	10141
100505935	213
100505910	0
9341	2235
8863	1304
10911	0
3604	0
11315	4438
54206	2376
50651	1047
473	22094
100505990	0
2023	10104
100505975	19
765	0
155184	0
6518	29
100302218	0
80045	1
407040	0
727721	0
9563	4320
80176	420
100506022	22
84275	395
199953	1831
5293	2505
644997	4
22883	27409
645010	2
56998	4924
84328	2383
64802	684
116362	1
10277	7483
23095	68509
100287506	14
5226	9296
378708	539
1325	186
1676	2960
5195	1321
54897	1075
148345	3
23435	18881
10747	955
6723	3376
5394	4458
2475	6856
10218	1
29914	2398
57540	20897
26232	64
93611	6407
26270	749
10459	1642
374946	7446
100506086	17095
57085	146
100506273	41
284498	0
100506310	0
100506116	0
4524	3389
1185	6945
4878	50
4879	4
26829	0
90231	1846
5351	1584
9927	9299
60672	2450
943	0
7133	289
55187	8031
677885	10
9249	223
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	47
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	1
441873	0
440563	20
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	2056
7799	15409
23254	4606
200197	59
55092	111
114827	21
79180	930
11330	3
63036	1
51032	29
842	447
23341	2082
100507192	4
79814	34
645317	1998
84301	257
6248	290
23207	6505
284723	586
388595	4
54751	2703
440567	4460
729614	902
23013	31258
7709	3950
149563	107
27129	10
1187	3
1188	8
348487	163
1969	238
100506484	1
128272	147
79363	394
54455	2927
26099	4804
374955	37
55707	1969
114819	4350
26871	19
100506533	108
100133301	24
55672	11334
84809	4912
11209	376
26869	8
729574	4
284729	8
729587	5
6060	18
11223	302
100506687	57
26870	12
9696	6853
4237	816
23400	8515
6390	1437
11240	167
400743	0
29943	0
51702	0
23569	2
353238	0
55920	7934
55160	4289
81569	12
84966	7649
127707	4
5081	6
80834	0
8659	704
100302276	0
126917	1778
23352	17333
23065	4906
51154	2042
246181	156
22977	69
100506730	939
8574	1049
54896	1165
832	7211
644075	237
644083	2
440574	1428
4681	3564
3362	18
255104	27
54546	0
23252	4967
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	68
127731	88
339505	47
55450	13051
79594	1916
163933	144
978	14
65018	6856
1650	5706
57576	91
400745	68
50809	33808
8672	12580
100302155	2
1889	2059
100506824	0
100506801	19
84224	737
249	280
5909	5311
84196	6705
401944	7
3339	821
23436	0
10136	2
29092	548
998	20187
54361	1705
9923	6314
2046	1182
712	97
714	192
713	131
2048	10443
100422914	0
646262	2
729059	5
23028	13102
100422866	1
7798	2448
3352	84
10236	20780
80818	6248
148898	836
6920	58
55616	1123
1870	1020
3399	511
259283	0
729856	0
6135	26314
6924	5316
100506963	70
57095	4896
11313	1569
2582	1053
3155	282
2517	806
1269	0
55629	2863
10772	6216
127294	0
58985	0
163702	11
284632	0
57822	4
90529	383
57185	1525
11123	352
100506985	516
400746	0
10250	7668
25932	12996
864	9
25949	2165
57035	5666
6007	111
23585	6538
6006	23
55219	9846
26119	241
57134	1291
100507013	7
57190	13480
56181	4101
646471	1002
79000	130
164091	965
3925	121575
5051	323
2134	498
7780	1
84676	0
149420	7857
79927	86
100128346	119
51042	192
10256	737
378807	10
64793	2174
83442	3558
91544	672
1043	2
55057	18
257101	0
79727	3
79947	2448
3151	11413
6195	269
100302190	0
8289	24839
55650	524
84243	2881
2810	12
54707	1653
63906	1225
8431	0
10726	3484
126695	13
646567	95
388610	1628
115572	10
6548	1349
23038	5734
84065	2221
644961	8297
84958	7
9064	270
8547	13
388611	0
2827	69
10163	3878
27245	14871
2268	75
2537	436
199870	1284
23673	7404
5511	4104
677774	5
9473	266
6118	2051
27293	9
55113	799
2140	819
653566	3372
5724	158
22826	3706
93974	4272
83667	939
54797	680
65979	5801
8420	1588
1104	2590
6080	20
26768	18
54952	1446
85028	861
692212	52
677838	133
677825	85
692073	90
115273	32
6883	777
26824	21
10691	2284
51441	8092
4985	8
2035	7267
399474	15
6429	11191
51102	905
10076	4123
100288450	0
4146	14
100129196	9
7805	428
9672	39006
9698	14819
692234	41
692235	45
692200	5
28997	49
79570	21491
9410	1708
51538	2542
2170	1920
347735	1691
149086	0
284551	0
64129	65
3061	161
553115	2041
1307	877
576	29348
100423028	0
90853	1
8073	12041
100507229	110
10657	26012
55116	1881
23633	9374
200081	6816
79140	2286
55721	798
149069	170
100507457	88
56063	568
8668	4515
339483	1139
84734	318
3932	1
3065	1518
65108	90134
100128071	162
81629	930
55108	8663
728116	1854
653121	5500
339487	339
5928	15089
81493	96
57648	7629
8565	3875
64766	3516
252995	1726
3208	5252
113452	198
127544	3749
100505584	43
204	3024
113451	1533
55223	1326
149076	8325
1912	9135
7579	819
114784	10882
127540	3
84970	47
693137	0
2709	17
127534	2
2707	11
2701	221
113444	1508
58512	976
100506144	120
9204	1931
79830	1681
100506168	35924
6421	36724
9202	11676
79932	3933
23154	13369
339488	510
5690	2577
127703	10829
63967	1263
192670	8456
26523	10393
192669	1603
27285	1354
54936	2545
1296	49
27095	2159
55700	13435
9967	14962
79729	953
55194	463
83931	5263
100506594	9
84967	850
127700	344
64960	612
1441	102
2899	22390
100422898	0
728431	13
80149	16
64769	6508
79753	2115
7802	1698
29889	2092
284654	1
54955	1430
55143	787
284656	1546
149175	4987
79693	1435
127687	937
4520	3082
3633	1447
10946	3143
2275	777
51118	1623
5453	4518
64121	1340
26292	454
100506806	6
81025	61
54933	73
79647	4789
4725	4449
23499	41599
100292290	6
643314	1470
353500	816
728448	1128
8761	4764
