"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"147"	100505935	150	222	84	296	213	205
"148"	100505910	0	0	0	0	0	0
"149"	9341	4555	1626	1162	2553	2235	3245
"150"	8863	3606	1255	3175	1234	1304	1289
"151"	10911	0	0	1	0	0	3
"152"	3604	0	0	0	0	0	2
"153"	11315	5327	2138	4507	6033	4438	4745
"154"	54206	2455	734	2331	3748	2376	3448
"155"	50651	1533	220	2720	1667	1047	1291
"156"	473	12147	2840	22373	25462	22094	23433
"157"	100505990	0	0	0	0	0	1
"158"	2023	22142	7834	22666	11084	10104	10138
"159"	100505975	8	6	30	22	19	17
"160"	765	0	0	0	3	0	0
"161"	155184	0	0	0	18	0	1
"162"	6518	305	38	139	16	29	64
"163"	100302218	0	0	0	0	0	0
"164"	80045	10	2	8	7	1	8
"165"	407040	6	0	6	0	0	0
"166"	727721	6	1	8	0	0	2
"167"	9563	2216	784	2161	5057	4320	5543
"168"	80176	773	174	552	868	420	369
"169"	100506022	39	21	34	36	22	43
"170"	84275	855	693	485	747	395	402
"171"	199953	1728	475	2228	1617	1831	2152
"172"	5293	1072	425	1515	2003	2505	2350
"173"	644997	3	0	0	2	4	0
"174"	22883	69480	7685	110601	35173	27409	33519
"175"	645010	1	0	7	2	2	4
"176"	56998	3865	1061	4471	8311	4924	7384
"177"	84328	781	274	453	3844	2383	2886
"178"	64802	722	230	385	863	684	945
"179"	116362	162	8	20	4	1	14
"180"	10277	4361	662	4769	8608	7483	8022
"181"	23095	30152	9007	34797	92648	68509	69850
"182"	100287506	7	0	23	26	14	15
"183"	5226	2626	595	1807	13139	9296	9725
"184"	378708	649	152	739	662	539	866
"185"	1325	158	37	247	293	186	311
"186"	1676	918	400	1239	3150	2960	2994
"187"	5195	2177	404	2696	1456	1321	1562
"188"	54897	201	68	326	252	1075	242
"189"	148345	8	0	11	0	3	10
"190"	23435	8300	2198	8133	22009	18881	23474
"191"	10747	550	174	479	1168	955	1396
"192"	6723	2089	727	2509	11831	3376	9776
"193"	5394	2120	525	1738	5166	4458	5601
"194"	2475	4303	1015	6687	9360	6856	6893
"195"	10218	10	6	15	26	1	292
"196"	29914	706	249	646	2639	2398	2483
"197"	57540	588	318	860	8228	20897	8739
"198"	26232	9684	3687	10909	599	64	353
"199"	93611	11833	2344	16415	9088	6407	8169
"200"	26270	434	219	496	721	749	647
"201"	10459	419	218	415	1516	1642	1881
"202"	374946	37	1	47	13394	7446	9360
"203"	100506086	123	20	83	35419	17095	27335
"204"	57085	281	288	187	110	146	198
"205"	100506273	11	0	10	43	41	25
"206"	284498	0	2	0	0	0	0
"207"	100506310	0	0	0	0	0	2
"208"	100506116	0	0	0	0	0	0
