Geneid	alignments
653635	2848
100422834	1
645520	1
79501	0
729737	419
100507658	46
100132287	671
100288646	44
729759	1
100131754	31935
81399	1
100287654	34
100133331	931
100288069	116
100287934	138
400728	34
79854	420
643837	1611
100506327	121
284593	22
284600	653
100130417	45
148398	30
26155	2952
339451	2149
84069	21
84808	41
57801	1492
9636	193
375790	16325
401934	0
54991	1469
406984	0
406983	0
554210	0
100506376	0
254173	1
8784	2
7293	16
51150	4527
126792	5348
388581	28
118424	3618
6339	1342
116983	15074
126789	327
54973	5393
80772	2492
83756	244
1855	6255
54587	1714
100506404	0
54998	1656
81669	9742
148413	2187
55052	1515
441869	111
643965	97
100288271	10
64856	1056
219293	153
83858	1608
55210	1542
339453	1309
29101	4258
643988	895
142678	4335
8510	33
984	3582
728661	28633
8511	37
728642	3498
100506482	16974
9906	3457
65220	3731
2782	86686
163688	14
339456	103
85452	32
2563	289
5590	3649
100506504	1256
199990	1049
100128003	1050
6497	13996
79906	401
100129534	784
11079	5451
5192	957
9651	2718
55229	2065
388585	1146
115110	9
100133445	9
8764	147
100506589	8
127281	4004
79258	258
100287898	31
140625	0
440556	1684
63976	2841
100422968	1
27237	94
1953	2537
693135	0
127262	3460
49856	1022
7161	90
100506635	0
57212	7245
148870	17
388588	14
57470	7023
9731	3921
1677	1655
339448	2358
100133612	5
728716	1
284661	1
55966	1173
261734	1628
8514	2170
26038	12509
6146	35631
388591	976
23463	3538
148645	0
390992	1
387509	7525
11332	5187
100130071	31
54626	2
83715	49
100422975	0
8718	2442
57449	6503
79707	6387
80835	5
3104	1713
9903	1413
148479	3890
90326	374
55735	2369
100505887	0
23261	14130
100505935	205
100505910	0
9341	3245
8863	1289
10911	3
3604	2
11315	4745
54206	3448
50651	1291
473	23433
100505990	1
2023	10138
100505975	17
765	0
155184	1
6518	64
100302218	0
80045	8
407040	0
727721	2
9563	5543
80176	369
100506022	43
84275	402
199953	2152
5293	2350
644997	0
22883	33519
645010	4
56998	7384
84328	2886
64802	945
116362	14
10277	8022
23095	69850
100287506	15
5226	9725
378708	866
1325	311
1676	2994
5195	1562
54897	242
148345	10
23435	23474
10747	1396
6723	9776
5394	5601
2475	6893
10218	292
29914	2483
57540	8739
26232	353
93611	8169
26270	647
10459	1881
374946	9360
100506086	27335
57085	198
100506273	25
284498	0
100506310	2
100506116	0
4524	3999
1185	8304
4878	108
4879	3
26829	3
90231	2046
5351	1674
9927	11927
60672	2830
943	5
7133	361
55187	8457
677885	10
9249	248
343066	0
126767	0
93190	6
390999	0
65121	0
440560	0
343069	52
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	1
440563	7
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	3
654348	0
391001	0
729516	0
653619	0
729528	1
645414	3
391004	2
645425	0
126755	6
10630	1888
7799	16347
23254	4265
200197	77
55092	246
114827	56
79180	970
11330	2
63036	5
51032	47
842	861
23341	3181
100507192	13
79814	77
645317	1643
84301	159
6248	263
23207	6441
284723	483
388595	10
54751	3044
440567	4731
729614	1111
23013	28598
7709	4359
149563	64
27129	34
1187	65
1188	23
348487	250
1969	248
100506484	2
128272	319
79363	558
54455	3363
26099	6093
374955	17
55707	2578
114819	4416
26871	9
100506533	449
100133301	46
55672	9030
84809	4752
11209	421
26869	7
729574	14
284729	8
729587	13
6060	11
11223	380
100506687	81
26870	16
9696	6354
4237	852
23400	8205
6390	1428
11240	148
400743	0
29943	0
51702	0
23569	0
353238	0
55920	9227
55160	6072
81569	8
84966	4446
127707	7
5081	2
80834	1
8659	1064
100302276	0
126917	2646
23352	15670
23065	5017
51154	2235
246181	336
22977	118
100506730	1418
8574	907
54896	1132
832	8926
644075	220
644083	1
440574	2458
4681	4448
3362	22
255104	39
54546	0
23252	5361
30814	1
5320	0
5322	9
26279	0
64600	0
391013	0
127733	322
127731	113
339505	49
55450	21418
79594	2383
163933	330
978	6
65018	9023
1650	5200
57576	371
400745	131
50809	41713
8672	14554
100302155	4
1889	2052
100506824	0
100506801	28
84224	1186
249	736
5909	4525
84196	7353
401944	10
3339	772
23436	0
10136	0
29092	581
998	22739
54361	658
9923	6965
2046	327
712	138
714	187
713	107
2048	7503
100422914	0
646262	0
729059	5
23028	15527
100422866	1
7798	2565
3352	21
10236	28542
80818	9962
148898	1065
6920	87
55616	1039
1870	679
3399	547
259283	0
729856	0
6135	23966
6924	7019
100506963	63
57095	6434
11313	2053
2582	1352
3155	501
2517	1027
1269	2
55629	3922
10772	7786
127294	1
58985	3
163702	24
284632	0
57822	2
90529	298
57185	1958
11123	454
100506985	910
400746	16
10250	8061
25932	16393
864	20
25949	3563
57035	5562
6007	181
23585	8184
6006	28
55219	12628
26119	240
57134	1318
100507013	6
57190	12865
56181	5630
646471	1314
79000	206
164091	2077
3925	206910
5051	475
2134	500
7780	2
84676	0
149420	11382
79927	135
100128346	115
51042	148
10256	935
378807	10
64793	2073
83442	4820
91544	1160
1043	4
55057	77
257101	0
79727	6
79947	3150
3151	11483
6195	221
100302190	0
8289	22453
55650	571
84243	2609
2810	19
54707	1457
63906	1264
8431	0
10726	3613
126695	4
646567	89
388610	1326
115572	2
6548	1202
