Geneid	alignments
113451	830
55223	1629
149076	8886
1912	6959
7579	833
114784	19433
127540	6
84970	57
693137	0
2709	14
127534	13
2707	18
2701	443
113444	1999
58512	2704
100506144	127
9204	2862
79830	2331
100506168	32091
6421	40151
9202	14235
79932	4921
23154	24549
339488	562
5690	3101
127703	17088
63967	249
192670	14034
26523	7541
192669	1388
27285	1509
54936	2838
1296	164
27095	2890
55700	15825
9967	17321
79729	686
55194	342
83931	5901
100506594	9
84967	1280
127700	530
64960	827
1441	41
2899	32111
100422898	0
728431	6
80149	22
64769	11040
79753	2540
7802	2187
29889	2380
284654	2
54955	1580
55143	157
284656	3097
149175	5521
79693	1753
127687	1275
4520	3841
3633	1325
10946	3650
2275	1022
51118	2055
5453	3619
64121	2341
26292	486
100506806	3
81025	70
54933	89
79647	6621
4725	6873
23499	81084
100292290	12
643314	2425
353500	507
728448	1224
8761	5917
100506950	22
677834	6
26508	450
84618	84
51440	14348
10450	2279
656	219
64064	14
100287437	1
54802	2028
4610	1502
84879	900
10487	10303
5538	5727
6018	8979
127391	2
10269	4192
1298	697
100286988	436
64744	5378
65243	3226
339559	1708
64789	2180
127396	405
9783	14187
100130557	652
4802	3954
407034	0
407031	0
9132	674
163732	30
1503	2996
100507178	130
200172	67
22955	5240
100132074	1217
1907	8
59269	7874
100507198	400
2981	0
2980	0
22887	15526
284716	8040
84217	37
79717	1635
100507214	105
728621	617
10465	371
100507252	116
4904	70175
149461	13
64175	1439
79078	1458
100129924	51
100507268	7
374969	3230
114625	486
51058	651
6513	3807
440584	10
440585	3
10969	3101
149465	28
100506711	22
128218	42
149466	0
7075	1017
4352	66
991	81
64834	947
112950	1635
149469	230
23334	4638
81888	227
5792	21509
9682	11197
100132774	114
6487	3284
9048	159
9670	4057
1802	2289
533	4760
8704	12653
149473	837
6536	1064
128209	13
100129492	2196
55929	2655
79033	4502
55182	7342
79639	455
339541	442
26830	6
11004	185
6202	23768
26811	50
94161	34
94162	71
94163	50
266675	220
1263	1323
343521	5
149478	80
8643	2446
8891	1713
100507337	10
79654	6464
7389	1562
57643	5983
400752	41
84842	196
4595	1078
114034	557
10420	96
126661	305
25974	784
5052	4301
10327	4136
4678	12418
149483	36
60313	4793
728963	60
51249	1706
3652	1429
23139	18893
8503	7581
100133124	10
10103	144
100507408	0
55624	5716
541468	202
8438	270
10489	6148
7388	5404
387338	1862
2166	1675
729041	28
127343	0
100507423	105
148930	20
8569	1077
148932	471
64756	4330
