Geneid	alignments
653635	1753
100422834	0
645520	1
79501	0
729737	222
100507658	23
100132287	298
100288646	18
729759	0
100131754	117502
81399	0
100287654	12
100133331	437
100288069	153
100287934	44
400728	35
79854	121
643837	1169
100506327	93
284593	22
284600	47
100130417	13
148398	28
26155	2650
339451	1151
84069	0
84808	9
57801	1106
9636	629
375790	16219
401934	0
54991	926
406984	0
406983	0
554210	0
100506376	0
254173	4
8784	200
7293	47
51150	6183
126792	2136
388581	39
118424	2672
6339	1661
116983	17392
126789	402
54973	3921
80772	2941
83756	63
1855	14020
54587	1629
100506404	0
54998	2689
81669	2443
148413	1039
55052	1671
441869	229
643965	639
100288271	14
64856	2950
219293	183
83858	1021
55210	955
339453	1232
29101	5488
643988	2301
142678	7561
8510	76
984	2830
728661	10552
8511	64
728642	1763
100506482	2546
9906	1564
65220	2611
2782	45603
163688	36
339456	62
85452	425
2563	11566
5590	9529
100506504	661
199990	627
100128003	337
6497	10667
79906	398
100129534	2111
11079	3901
5192	1154
9651	8653
55229	2112
388585	182
115110	43
100133445	39
8764	921
100506589	15
127281	5866
79258	11
100287898	44
140625	0
440556	1934
63976	1217
100422968	0
27237	94
1953	544
693135	0
127262	11551
49856	556
7161	21
100506635	0
57212	2525
148870	3
388588	10
57470	4699
9731	2262
1677	462
339448	702
100133612	7
728716	9
284661	0
55966	2265
261734	1872
8514	37924
26038	43826
6146	3314
388591	958
23463	4089
148645	0
390992	1
387509	2386
11332	7645
100130071	39
54626	2
83715	67
100422975	0
8718	2661
57449	9920
79707	2008
80835	5
3104	793
9903	6884
148479	1816
90326	237
55735	2171
100505887	0
23261	12949
100505935	84
100505910	0
9341	1162
8863	3175
10911	1
3604	0
11315	4507
54206	2331
50651	2720
473	22373
100505990	0
2023	22666
100505975	30
765	0
155184	0
6518	139
100302218	0
80045	8
407040	6
727721	8
9563	2161
80176	552
100506022	34
84275	485
199953	2228
5293	1515
644997	0
22883	110601
645010	7
56998	4471
84328	453
64802	385
116362	20
10277	4769
23095	34797
100287506	23
5226	1807
378708	739
1325	247
1676	1239
5195	2696
54897	326
148345	11
23435	8133
10747	479
6723	2509
5394	1738
2475	6687
10218	15
29914	646
57540	860
26232	10909
93611	16415
26270	496
10459	415
374946	47
100506086	83
57085	187
100506273	10
284498	0
100506310	0
100506116	0
4524	2696
1185	9142
4878	79
4879	0
26829	0
90231	2273
5351	2357
9927	14551
60672	1066
943	0
7133	418
55187	9450
677885	12
9249	918
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	19
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	13
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	148
10630	235
7799	13644
23254	6854
200197	65
55092	240
114827	123
79180	12848
11330	7
63036	30
51032	77
842	761
23341	2336
100507192	11
79814	178
645317	2202
84301	190
6248	163
23207	21337
284723	250
388595	0
54751	171
440567	3321
729614	474
23013	11206
7709	2014
149563	324
27129	184
1187	6
1188	4
348487	543
1969	283
100506484	0
128272	42
79363	979
54455	1758
26099	1967
374955	3
55707	596
114819	1508
26871	4
100506533	18
100133301	2
55672	1989
84809	4541
11209	338
26869	3
729574	4
284729	27
729587	7
6060	7
11223	275
100506687	12
26870	7
9696	2704
4237	6
23400	17737
6390	1538
11240	4871
400743	0
29943	0
51702	0
23569	152
353238	0
