Geneid	alignments
653635	465
100422834	0
645520	0
79501	0
729737	18
100507658	1
100132287	35
100288646	4
729759	1
100131754	292009
81399	2
100287654	1
100133331	50
100288069	6
100287934	26
400728	1
79854	22
643837	116
100506327	9
284593	2
284600	3
100130417	13
148398	19
26155	218
339451	197
84069	2
84808	13
57801	484
9636	523
375790	3604
401934	0
54991	272
406984	0
406983	0
554210	0
100506376	1
254173	2
8784	34
7293	7
51150	1167
126792	372
388581	6
118424	721
6339	322
116983	2804
126789	92
54973	779
80772	530
83756	11
1855	2271
54587	734
100506404	0
54998	1200
81669	626
148413	343
55052	641
441869	362
643965	26
100288271	27
64856	1033
219293	42
83858	198
55210	257
339453	203
29101	1202
643988	613
142678	782
8510	19
984	576
728661	1392
8511	16
728642	428
100506482	762
9906	89
65220	643
2782	9434
163688	16
339456	21
85452	9
2563	993
5590	422
100506504	66
199990	319
100128003	100
6497	1615
79906	68
100129534	414
11079	1028
5192	435
9651	1082
55229	246
388585	238
115110	15
100133445	2
8764	303
100506589	0
127281	888
79258	4
100287898	6
140625	0
440556	1596
63976	713
100422968	0
27237	32
1953	93
693135	0
127262	1669
49856	158
7161	7
100506635	0
57212	623
148870	4
388588	4
57470	670
9731	600
1677	127
339448	176
100133612	0
728716	0
284661	0
55966	71
261734	189
8514	2179
26038	3283
6146	2639
388591	212
23463	1064
148645	0
390992	0
387509	376
11332	572
100130071	4
54626	0
83715	27
100422975	0
8718	657
57449	557
79707	439
80835	8
3104	265
9903	1183
148479	349
90326	30
55735	233
100505887	0
23261	1173
100505935	222
100505910	0
9341	1626
8863	1255
10911	0
3604	0
11315	2138
54206	734
50651	220
473	2840
100505990	0
2023	7834
100505975	6
765	0
155184	0
6518	38
100302218	0
80045	2
407040	0
727721	1
9563	784
80176	174
100506022	21
84275	693
199953	475
5293	425
644997	0
22883	7685
645010	0
56998	1061
84328	274
64802	230
116362	8
10277	662
23095	9007
100287506	0
5226	595
378708	152
1325	37
1676	400
5195	404
54897	68
148345	0
23435	2198
10747	174
6723	727
5394	525
2475	1015
10218	6
29914	249
57540	318
26232	3687
93611	2344
26270	219
10459	218
374946	1
100506086	20
57085	288
100506273	0
284498	2
100506310	0
100506116	0
4524	447
1185	1118
4878	31
4879	2
26829	0
90231	376
5351	1049
9927	2515
60672	294
943	4
7133	271
55187	1362
677885	0
9249	722
343066	0
126767	0
93190	2
390999	0
65121	0
440560	0
343069	5
65122	0
400735	1
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	4
645359	1
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	10
10630	123
7799	1147
23254	503
200197	39
55092	296
114827	14
79180	1370
11330	2
63036	2
51032	9
842	343
23341	342
100507192	5
79814	12
645317	804
84301	5
6248	27
23207	10989
284723	123
388595	1
54751	163
440567	1261
729614	173
23013	1532
7709	379
149563	408
27129	212
1187	0
1188	2
348487	180
1969	292
100506484	3
128272	34
79363	161
54455	269
26099	2116
374955	2
55707	721
114819	331
26871	0
100506533	7
100133301	0
55672	617
84809	719
11209	74
26869	0
729574	0
284729	7
729587	0
6060	0
11223	56
100506687	35
26870	2
9696	608
4237	6
23400	1332
6390	573
11240	4221
400743	0
29943	0
51702	0
23569	16
353238	0
55920	737
55160	932
81569	0
84966	525
127707	2
5081	14
80834	0
8659	3951
100302276	0
126917	500
23352	1500
23065	373
51154	600
246181	36
22977	68
100506730	303
8574	526
54896	229
832	1811
644075	9
644083	0
440574	1012
4681	5269
3362	6
255104	109
54546	0
23252	417
30814	0
5320	0
5322	548
26279	0
64600	0
391013	0
127733	57
127731	2
339505	10
55450	15024
79594	469
163933	208
978	45
65018	6884
1650	1010
57576	245
400745	463
50809	3165
8672	1224
100302155	0
1889	1774
100506824	0
100506801	0
84224	50
249	767
5909	1875
84196	558
401944	3
3339	183
23436	0
10136	0
29092	92
998	2097
54361	40
9923	530
2046	8
712	29
714	19
713	23
2048	208
100422914	0
646262	0
729059	0
23028	507
100422866	0
7798	771
3352	4
10236	1517
80818	324
148898	135
6920	78
55616	556
1870	4
3399	1218
259283	1
729856	0
6135	3238
6924	471
100506963	8
57095	1276
11313	333
2582	186
3155	368
2517	144
1269	0
55629	682
10772	503
127294	0
58985	0
163702	37
284632	0
57822	2
90529	213
57185	1289
11123	30
100506985	46
400746	0
10250	886
25932	3347
864	124
25949	740
57035	1110
6007	29
23585	1292
6006	13
55219	351
26119	286
57134	336
100507013	2
57190	2911
56181	1405
646471	88
79000	20
164091	357
3925	3899
5051	232
2134	790
7780	2
84676	3
149420	156
79927	50
100128346	8
51042	34
10256	54
378807	0
64793	143
83442	1475
91544	349
1043	25
