Geneid	alignments
653635	2158
100422834	0
645520	6
79501	0
729737	283
100507658	45
100132287	491
100288646	8
729759	0
100131754	223447
81399	1
100287654	8
100133331	512
100288069	64
100287934	158
400728	21
79854	131
643837	388
100506327	85
284593	24
284600	36
100130417	16
148398	53
26155	1649
339451	678
84069	8
84808	30
57801	723
9636	359
375790	9597
401934	0
54991	766
406984	0
406983	0
554210	0
100506376	0
254173	0
8784	82
7293	13
51150	4485
126792	1822
388581	31
118424	2019
6339	1292
116983	12233
126789	247
54973	3159
80772	1936
83756	51
1855	7913
54587	729
100506404	0
54998	2741
81669	2649
148413	1072
55052	1874
441869	1226
643965	1003
100288271	16
64856	6044
219293	191
83858	875
55210	1004
339453	868
29101	5723
643988	1657
142678	4455
8510	49
984	2335
728661	7468
8511	43
728642	1455
100506482	4290
9906	495
65220	1781
2782	44274
163688	38
339456	31
85452	212
2563	6438
5590	5528
100506504	551
199990	520
100128003	216
6497	5913
79906	219
100129534	2551
11079	3848
5192	1093
9651	3160
55229	1209
388585	181
115110	29
100133445	22
8764	542
100506589	5
127281	4175
79258	6
100287898	19
140625	0
440556	1642
63976	1255
100422968	0
27237	169
1953	374
693135	0
127262	12738
49856	545
7161	10
100506635	0
57212	2313
148870	11
388588	16
57470	3914
9731	2262
1677	526
339448	869
100133612	4
728716	7
284661	0
55966	773
261734	1122
8514	23019
26038	20203
6146	6605
388591	941
23463	4068
148645	0
390992	0
387509	1152
11332	7218
100130071	24
54626	0
83715	28
100422975	0
8718	1435
57449	4376
79707	1841
80835	7
3104	668
9903	4269
148479	1376
90326	178
55735	1647
100505887	0
23261	10112
100505935	150
100505910	0
9341	4555
8863	3606
10911	0
3604	0
11315	5327
54206	2455
50651	1533
473	12147
100505990	0
2023	22142
100505975	8
765	0
155184	0
6518	305
100302218	0
80045	10
407040	6
727721	6
9563	2216
80176	773
100506022	39
84275	855
199953	1728
5293	1072
644997	3
22883	69480
645010	1
56998	3865
84328	781
64802	722
116362	162
10277	4361
23095	30152
100287506	7
5226	2626
378708	649
1325	158
1676	918
5195	2177
54897	201
148345	8
23435	8300
10747	550
6723	2089
5394	2120
2475	4303
10218	10
29914	706
57540	588
26232	9684
93611	11833
26270	434
10459	419
374946	37
100506086	123
57085	281
100506273	11
284498	0
100506310	0
100506116	0
4524	1678
1185	7318
4878	62
4879	4
26829	0
90231	1946
5351	1942
9927	12605
60672	834
943	5
7133	365
55187	7301
677885	15
9249	984
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	36
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	6
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
